Visitor_ID,Page_Views,Session_Duration,Bounce_Rate,Conversion_Rate,Traffic_Source,Exit_Pages,Load_Time,Visitor_Type,Location
66,2,37.32,0.64,0.03,Direct,Checkout,0.95,New,Indianapolis
67,7,209.45,0.23,0.09,Direct,Contact Us,1.44,Returning,Houston
68,6,766.78,0.37,0.01,Referral,Checkout,2.22,New,Fort Worth
69,7,173.97,0.05,0.01,Organic,Homepage,1.78,New,Chicago
70,6,544.97,0.59,0.08,Social Media,Checkout,1.69,Returning,San Jose
71,7,205.46,0.46,0.02,Organic,Blog,1.87,New,Fort Worth
72,6,33.89,0.76,0.07,Direct,Blog,0.79,New,San Antonio
73,4,48,0.21,0,Referral,Contact Us,2.72,Returning,Denver
74,2,14.34,0.44,0.01,Referral,Checkout,1.91,Returning,San Francisco
75,3,65.19,0.18,0.06,Organic,Blog,1.83,New,Philadelphia
76,4,672.2,0.61,0.02,Organic,Homepage,1.53,New,New York
77,7,315.12,0.85,0,Organic,Contact Us,2.92,New,Indianapolis
78,4,402.81,0.77,0.05,Organic,Homepage,1.18,Returning,Washington
79,3,291.59,0.94,0.03,Direct,Blog,0.84,New,Charlotte
80,2,146.59,0.97,0.08,Direct,Contact Us,1.7,Returning,Austin
81,6,73.33,0.77,0.08,Organic,Checkout,1.94,Returning,Washington
82,3,779.55,0.29,0.06,Referral,Product Page,1.93,New,Philadelphia
83,5,216.98,0.22,0.03,Social Media,Checkout,1.55,New,Los Angeles
84,9,196.81,0.45,0.05,Social Media,Checkout,1.3,New,Dallas
85,6,1664.35,0.99,0.07,Direct,Homepage,2.24,New,New York
86,6,145.32,0.41,0.01,Organic,Checkout,1.23,Returning,Dallas
87,9,577.5,0.2,0.03,Organic,Product Page,1.74,New,Philadelphia
88,4,594.9,0.94,0.08,Social Media,Contact Us,2.06,Returning,New York
89,9,79.45,0.39,0.04,Referral,Contact Us,1.77,Returning,Charlotte
90,2,29.89,0.69,0.06,Social Media,Product Page,3.06,New,New York
91,10,1114.2,0.79,0.01,Referral,Homepage,2.48,Returning,San Antonio
92,6,166.48,0.84,0.08,Social Media,Product Page,2.06,Returning,Houston
93,9,0.67,0.82,0.01,Organic,Contact Us,1.81,New,Denver
94,4,207.36,0.84,0.09,Direct,Product Page,1.38,Returning,Indianapolis
95,1,289.72,0.67,0.01,Direct,Homepage,3.28,New,San Jose
96,6,448.95,0.4,0.09,Referral,Checkout,1.79,New,New York
97,8,859.11,0.67,0.04,Direct,Checkout,1.6,New,Los Angeles
98,6,740.13,0.84,0.06,Direct,Contact Us,2.19,New,San Diego
99,2,844.7,0.35,0.08,Direct,Homepage,1.6,Returning,New York
100,3,9.8,0.3,0,Social Media,Checkout,2.36,New,San Diego
101,5,373.2,0.34,0.03,Organic,Checkout,2.16,New,Los Angeles
102,3,76.8,0.55,0.09,Social Media,Checkout,1.32,New,San Antonio
103,3,62.31,0.05,0.04,Organic,Blog,2.48,New,Phoenix
104,5,483.31,0.78,0.07,Direct,Checkout,2.45,New,Fort Worth
105,6,161.94,0.14,0.01,Social Media,Blog,2.05,Returning,San Antonio
106,5,745.23,0.13,0.07,Organic,Product Page,1.88,New,New York
107,3,13.01,0.2,0.01,Social Media,Contact Us,1.01,Returning,San Jose
108,5,486.12,0.58,0.07,Referral,Contact Us,1.98,New,Indianapolis
109,3,44.14,0.29,0.03,Social Media,Blog,1.46,New,Fort Worth
110,3,58.29,0.37,0.05,Direct,Homepage,2.41,New,San Antonio
111,6,194.65,0.93,0.02,Social Media,Blog,2.61,New,Dallas
112,5,151.05,0.85,0.06,Direct,Checkout,2.79,New,Los Angeles
113,6,199.76,0.85,0.03,Referral,Homepage,2.43,Returning,San Antonio
114,2,844.16,0.58,0.04,Direct,Contact Us,3.21,New,Indianapolis
115,4,321.35,0.87,0.07,Direct,Product Page,1.57,Returning,Columbus
116,7,102.88,0.78,0.02,Direct,Product Page,1.68,Returning,Philadelphia
117,6,56.95,0.95,0.09,Social Media,Blog,2.17,Returning,Austin
118,5,163.44,0.06,0.07,Referral,Blog,1.96,Returning,Los Angeles
119,4,180.25,0.03,0.06,Social Media,Blog,1.74,Returning,San Diego
120,3,275.86,0.18,0.01,Organic,Blog,2.64,Returning,San Francisco
121,3,92.77,0.93,0.07,Social Media,Contact Us,1.43,New,San Antonio
122,7,437.67,0.61,0,Organic,Checkout,2.48,Returning,San Francisco
123,7,31.1,0.43,0.08,Direct,Contact Us,2.2,Returning,Charlotte
124,6,246.6,0.51,0.03,Organic,Product Page,1.31,New,San Jose
125,6,293.08,0.83,0.01,Direct,Product Page,2.16,New,Philadelphia
126,7,69.52,0.93,0.02,Referral,Product Page,1.18,New,San Antonio
127,8,524.63,0.73,0.1,Referral,Checkout,1.95,New,Charlotte
128,6,286.69,0.76,0.08,Direct,Checkout,1.99,New,San Diego
129,3,311.3,0.32,0.02,Direct,Homepage,2.03,Returning,Austin
130,7,206.59,0.47,0.1,Direct,Checkout,2.29,New,San Francisco
131,5,721.03,0.89,0.01,Organic,Product Page,1.56,New,Columbus
132,5,355.18,0.79,0.07,Referral,Checkout,1.24,New,Philadelphia
133,7,144.3,0.68,0.07,Direct,Checkout,1.9,New,Dallas
134,4,81.78,0.07,0.08,Organic,Checkout,1.31,Returning,Austin
135,9,22.11,0.04,0.04,Direct,Blog,1.67,New,Fort Worth
136,4,54.23,0.13,0.04,Referral,Checkout,1.81,Returning,San Diego
137,5,1475.26,0.58,0.06,Social Media,Blog,1.91,New,Charlotte
138,2,156.65,0.54,0.04,Referral,Product Page,1.84,New,Chicago
139,6,686.86,0.94,0,Social Media,Homepage,1.93,New,Los Angeles
140,3,56.1,0.69,0.07,Referral,Contact Us,2.57,New,Washington
141,6,166.2,0.29,0.06,Direct,Homepage,2.36,New,Philadelphia
142,2,969.58,0.16,0.04,Referral,Contact Us,1.72,New,Charlotte
143,3,28.67,0.85,0.03,Direct,Product Page,2.32,Returning,Seattle
144,5,270.41,0.46,0.03,Organic,Blog,2.69,New,Chicago
145,3,754.63,0.65,0.07,Social Media,Checkout,2.49,Returning,Austin
146,4,896.83,0.57,0.07,Social Media,Blog,1.61,New,Denver
147,5,561.26,0.11,0.08,Organic,Contact Us,1.81,Returning,Seattle
148,6,581.25,0.06,0.08,Social Media,Checkout,2.26,New,Houston
149,3,316.82,0.38,0.08,Organic,Contact Us,1.82,New,Washington
150,3,74.7,0.36,0.03,Direct,Contact Us,3.14,Returning,Indianapolis
151,4,393.55,0.67,0.01,Referral,Checkout,2.9,Returning,San Antonio
152,5,1150.3,0.63,0.08,Social Media,Homepage,1.66,New,San Jose
153,4,223.92,0.97,0.01,Referral,Homepage,2,New,Seattle
154,2,90.61,0.86,0.1,Direct,Contact Us,1.72,Returning,San Antonio
155,6,255.62,0.5,0.09,Social Media,Product Page,2.79,Returning,New York
156,6,351.95,0.5,0.05,Organic,Blog,1.81,Returning,New York
157,8,70.06,0.67,0.04,Organic,Homepage,2.43,New,Washington
158,1,381.02,0.11,0.05,Social Media,Checkout,1.92,Returning,Chicago
159,6,265.61,1,0.07,Direct,Contact Us,2.33,Returning,New York
160,2,284.3,0.52,0.08,Referral,Blog,2.45,New,San Antonio
161,5,109.58,0.91,0.01,Referral,Blog,2.71,Returning,Austin
162,2,50.62,0.97,0.08,Referral,Contact Us,2.15,Returning,Denver
163,6,293.01,0.58,0.06,Social Media,Blog,2.23,Returning,Austin
164,4,264.74,0.1,0,Referral,Product Page,2.05,Returning,Los Angeles
165,3,123.75,0.57,0.03,Organic,Contact Us,2.09,New,Austin
166,5,105.25,0.6,0.05,Referral,Blog,2.47,New,Denver
167,6,127.97,0.79,0.02,Direct,Blog,1.33,New,Houston
168,3,201.93,0.05,0.02,Referral,Homepage,1.84,New,Philadelphia
169,4,1104.51,0.47,0,Organic,Blog,1.61,Returning,Chicago
170,8,432.62,0.92,0.09,Referral,Blog,1.65,New,Philadelphia
171,4,572.64,0.99,0.01,Referral,Homepage,2.59,New,Washington
172,10,211.35,0.19,0.04,Social Media,Contact Us,1.48,Returning,New York
173,4,224.04,0.87,0.02,Direct,Homepage,2.08,Returning,Washington
174,5,68.57,0.15,0.07,Referral,Checkout,1.48,Returning,Columbus
175,10,383.01,0.84,0.07,Referral,Checkout,2.11,New,Fort Worth
176,3,164.24,0.28,0.08,Social Media,Product Page,1.95,New,Indianapolis
177,4,406.96,0.96,0.06,Direct,Blog,1.63,Returning,Phoenix
178,7,157.81,0.7,0.06,Direct,Checkout,2.53,New,Indianapolis
179,5,34.46,0.4,0.04,Social Media,Contact Us,1.6,New,Denver
180,10,57,0.28,0.06,Direct,Contact Us,1.66,New,Washington
181,4,500.71,0.24,0.01,Direct,Checkout,1.19,New,Washington
182,2,89.77,0.68,0.07,Organic,Homepage,1.85,New,Seattle
183,3,92.1,0.9,0.01,Referral,Product Page,1.38,New,Seattle
184,5,795.08,0.75,0.09,Referral,Homepage,2.41,New,Phoenix
185,8,321.56,0.83,0.05,Organic,Product Page,2.94,Returning,Washington
186,4,36.42,0.78,0.05,Direct,Checkout,3,New,Denver
187,3,46.5,0.98,0.06,Referral,Homepage,2.69,Returning,Indianapolis
188,8,95.39,0.76,0.08,Direct,Checkout,1.55,New,Denver
189,6,270.42,0.21,0.05,Direct,Product Page,1.96,Returning,Columbus
190,8,419.3,0.79,0.04,Social Media,Contact Us,1.77,Returning,San Diego
191,3,96.27,0.32,0.03,Organic,Homepage,1.49,Returning,Philadelphia
192,3,613.55,1,0.01,Social Media,Checkout,1.91,New,Philadelphia
193,5,34.68,0.38,0.02,Organic,Product Page,2.01,Returning,San Jose
194,11,69.81,0.29,0,Direct,Contact Us,1.83,New,Chicago
195,7,1056.65,0.24,0.09,Referral,Homepage,2.19,New,Phoenix
196,4,43.42,0.66,0.08,Direct,Product Page,1.91,Returning,Los Angeles
197,3,657.08,0.11,0.02,Referral,Homepage,1.74,New,San Antonio
198,8,365.15,0.95,0,Direct,Homepage,2.13,New,Charlotte
199,8,22.77,0.29,0.05,Direct,Blog,2.42,New,Jacksonville
200,3,198.32,0.3,0.04,Referral,Checkout,2.17,Returning,Chicago
201,3,219.55,0.05,0.08,Social Media,Blog,1.96,Returning,Chicago
202,6,807.09,0.25,0.04,Organic,Homepage,2.1,New,New York
203,2,163.99,0.42,0.09,Organic,Product Page,2.99,Returning,Denver
204,7,177.59,0.37,0.01,Direct,Checkout,1.58,Returning,Houston
205,5,35.8,0.27,0.04,Referral,Product Page,2.13,New,San Diego
206,5,305.81,0.04,0.09,Organic,Product Page,2.31,New,Denver
207,6,71.06,0.3,0,Referral,Contact Us,1.61,New,Charlotte
208,1,24.21,0.78,0.04,Social Media,Homepage,1.89,Returning,Houston
209,10,1734.75,0.44,0.03,Social Media,Product Page,2.08,New,Houston
210,2,94.26,0.29,0.05,Organic,Homepage,1.43,New,San Diego
211,5,45.61,0.3,0.03,Referral,Blog,1.85,New,San Diego
212,4,360.68,0.55,0.09,Direct,Blog,1.22,Returning,San Jose
213,5,517.26,0.3,0.09,Social Media,Product Page,2.73,Returning,Dallas
214,4,19.87,0.63,0.08,Referral,Homepage,1.04,New,Philadelphia
215,5,33.41,0.99,0.04,Direct,Contact Us,1.76,New,Charlotte
216,6,28.35,0.04,0.1,Organic,Checkout,0.99,New,Dallas
217,1,14.43,0.17,0.07,Referral,Blog,2.89,Returning,Dallas
218,3,323.16,0.18,0.04,Social Media,Blog,2.77,New,Denver
219,2,266.25,0.45,0.01,Organic,Contact Us,2.9,Returning,Dallas
220,5,326.13,0.04,0.07,Organic,Product Page,1.86,New,New York
221,4,211.36,0.48,0.07,Direct,Blog,2.65,New,Dallas
222,7,510.31,0.93,0.01,Social Media,Blog,1.75,New,Dallas
223,7,237.34,0.01,0.05,Social Media,Checkout,2.21,Returning,Los Angeles
224,2,753.06,0.36,0.1,Referral,Contact Us,2.16,New,San Antonio
225,6,199.45,0.76,0.03,Direct,Contact Us,2.07,New,San Antonio
226,7,469.14,0.15,0.03,Referral,Homepage,1.54,New,Philadelphia
227,2,156.95,0.08,0.09,Organic,Contact Us,2.3,New,Fort Worth
228,7,171.4,0.63,0.01,Organic,Checkout,2.12,Returning,San Francisco
229,5,567.13,0.01,0.09,Referral,Contact Us,1.81,New,Philadelphia
230,7,34.17,0.8,0.08,Social Media,Homepage,2.56,Returning,Jacksonville
231,6,249.67,0.07,0.04,Social Media,Checkout,1.44,Returning,Los Angeles
232,5,388.76,0.52,0.01,Organic,Blog,1.48,Returning,Chicago
233,6,416.39,0.74,0,Organic,Product Page,1.59,New,Phoenix
234,5,268.57,0.24,0.04,Direct,Blog,1.46,New,Denver
235,4,178.3,0.1,0.07,Organic,Homepage,1.72,New,Chicago
236,7,90.65,0.18,0.05,Organic,Checkout,2.17,Returning,Seattle
237,1,720.48,0.85,0.07,Organic,Blog,1.6,New,Dallas
238,8,138.51,0.71,0.07,Referral,Homepage,2.31,New,Charlotte
239,4,481.32,0.2,0.06,Organic,Blog,2.66,New,Seattle
240,5,9.65,0.72,0.1,Direct,Product Page,2.85,New,Chicago
241,3,79.26,0.71,0.07,Direct,Blog,1.17,New,Phoenix
242,7,127.2,1,0.09,Direct,Blog,2.41,Returning,San Diego
243,2,334.03,0.39,0.02,Direct,Blog,2.19,Returning,Charlotte
244,5,115.4,0.86,0.07,Organic,Homepage,1.77,New,Columbus
245,10,12.67,0.45,0.06,Direct,Checkout,1.9,New,Philadelphia
246,7,57.3,0.9,0.09,Referral,Contact Us,1.94,Returning,Seattle
247,7,89.99,0.09,0.05,Referral,Homepage,2.49,New,Fort Worth
248,10,58.09,0.18,0.03,Social Media,Contact Us,2.43,Returning,Philadelphia
249,1,68.34,0.85,0.04,Social Media,Contact Us,2.59,New,Charlotte
250,5,439.55,0.82,0.02,Organic,Blog,1.64,New,Indianapolis
251,3,159.33,0.31,0.02,Social Media,Product Page,1.96,New,Chicago
252,8,155.85,0.6,0.05,Referral,Contact Us,2.62,New,Indianapolis
253,7,1019.82,0.38,0.09,Referral,Contact Us,2.01,New,Los Angeles
254,3,177.56,0.01,0.02,Organic,Blog,2.65,New,Indianapolis
255,1,787.91,0.03,0.03,Social Media,Product Page,1.87,Returning,San Jose
256,5,106.6,0.05,0.09,Organic,Blog,2.67,New,Houston
257,3,153.56,0.59,0.03,Direct,Contact Us,1.73,New,San Francisco
258,6,151.4,0.28,0.1,Direct,Homepage,1.1,New,San Antonio
259,3,236.95,0.14,0.03,Social Media,Contact Us,2.22,Returning,Fort Worth
260,4,263.3,0.94,0.04,Organic,Homepage,1.99,New,San Antonio
261,5,85.56,0.12,0.01,Referral,Checkout,0.86,New,Charlotte
262,8,473.36,0.67,0.1,Organic,Product Page,1.78,New,Charlotte
263,7,205.87,0.89,0.09,Direct,Checkout,2.42,Returning,San Jose
264,5,2.12,0.16,0.08,Organic,Blog,1.85,Returning,Dallas
265,4,268.46,0.21,0.02,Organic,Contact Us,2.65,Returning,Austin
266,6,479.93,0.57,0.1,Social Media,Checkout,1.74,New,Austin
267,8,86.49,0.51,0.09,Referral,Product Page,1.78,New,Phoenix
268,4,11.58,0.52,0.04,Organic,Homepage,1.22,New,Chicago
269,3,493.8,0.55,0.07,Direct,Homepage,2.84,New,Los Angeles
270,2,1122.39,0.95,0.1,Organic,Blog,2.96,New,Houston
271,3,23.9,0.05,0.04,Referral,Blog,2.78,Returning,Austin
272,9,834.36,0.76,0.01,Organic,Contact Us,2.26,New,Charlotte
273,5,133.55,0.23,0.09,Referral,Checkout,1.33,New,Austin
274,4,851.31,0.37,0.05,Organic,Contact Us,2.02,New,Dallas
275,7,313.95,0.09,0.1,Social Media,Homepage,1.15,Returning,Denver
276,8,662.85,0.45,0.06,Referral,Homepage,2.34,New,Dallas
277,4,462.3,0.8,0,Organic,Checkout,1.64,Returning,Los Angeles
278,4,8.52,0.1,0.05,Organic,Contact Us,1.8,Returning,Los Angeles
279,8,20.3,0.28,0.07,Organic,Blog,1.51,New,Denver
280,5,223.8,0.37,0,Organic,Checkout,2.67,New,Denver
281,5,41.65,0.1,0.04,Organic,Blog,1.96,New,Jacksonville
282,6,185.43,0.76,0.02,Direct,Checkout,2.85,New,Denver
283,7,927.87,0.79,0.06,Social Media,Blog,2.17,Returning,San Antonio
284,2,104.76,0.84,0.1,Direct,Product Page,2.86,New,Denver
285,1,201.36,0.58,0.06,Organic,Homepage,2.44,Returning,Indianapolis
286,7,145.48,0.51,0.07,Referral,Checkout,2.37,New,Houston
287,5,298.14,0.26,0.04,Referral,Product Page,1.6,New,Columbus
288,4,64.64,0.66,0.06,Direct,Checkout,1.25,New,New York
289,4,90.31,0.44,0.05,Direct,Homepage,1.31,Returning,Houston
290,3,587.21,0.97,0.08,Direct,Homepage,2.01,New,New York
291,8,500.34,0.97,0.09,Social Media,Blog,1.67,New,San Francisco
292,7,467.04,0.91,0.07,Social Media,Homepage,2.3,Returning,Seattle
293,1,442.1,0.36,0.1,Referral,Homepage,2.39,Returning,Denver
294,2,184.54,0.37,0.08,Direct,Homepage,1.96,Returning,San Jose
295,4,391.57,0.85,0.01,Social Media,Contact Us,1.24,New,Philadelphia
296,6,146.92,0.73,0.05,Direct,Contact Us,2.75,New,Houston
297,4,31.84,0.7,0.09,Direct,Homepage,1.41,New,Jacksonville
298,6,149.95,0.28,0.09,Social Media,Contact Us,2.56,New,Indianapolis
299,8,51.83,0.83,0.04,Organic,Checkout,2.83,New,Houston
300,7,148.71,0.58,0.07,Organic,Product Page,1.99,Returning,Philadelphia
301,5,105.9,0.45,0.04,Direct,Product Page,1.46,Returning,Indianapolis
302,2,274.26,0.87,0.01,Referral,Contact Us,1.8,New,Indianapolis
303,1,134.61,0.39,0.09,Social Media,Product Page,3.47,New,Los Angeles
304,7,366.83,0.65,0.09,Organic,Contact Us,2.29,New,San Francisco
305,4,215.32,0.47,0.05,Social Media,Blog,2.1,New,Columbus
306,1,755.82,0.59,0,Social Media,Homepage,1.87,Returning,San Antonio
307,6,28.63,0.04,0.08,Direct,Product Page,2.02,New,Charlotte
308,5,349.15,0.46,0.05,Organic,Homepage,1.95,New,Los Angeles
309,8,334.79,0.56,0.01,Social Media,Product Page,1.83,New,Chicago
310,5,902.5,0.49,0.02,Referral,Checkout,2.42,Returning,Phoenix
311,4,139.35,0.85,0.02,Direct,Checkout,2.61,Returning,Jacksonville
312,10,109.34,0.31,0.07,Direct,Contact Us,1.46,New,Phoenix
313,7,56.77,0.88,0.03,Organic,Homepage,2.87,Returning,Austin
314,4,92.48,0.4,0.01,Direct,Contact Us,2.78,New,Dallas
315,8,209.08,0.69,0.09,Organic,Blog,2.08,New,Fort Worth
316,5,545.52,0.09,0.1,Social Media,Contact Us,3.19,New,Houston
317,5,100.34,0.2,0.01,Referral,Contact Us,1.55,Returning,Houston
318,5,51.5,0.76,0.02,Organic,Contact Us,2.03,Returning,Seattle
319,2,95.29,0.01,0.06,Social Media,Product Page,2.75,New,San Diego
320,3,31.92,0.97,0.02,Social Media,Product Page,1.95,Returning,Chicago
321,4,783.94,0.19,0.02,Social Media,Blog,1.57,New,Denver
322,9,618.18,0.9,0.03,Direct,Homepage,2.09,New,Denver
323,0,110.66,0.52,0.09,Referral,Checkout,2.44,Returning,Jacksonville
324,5,85.1,0.56,0.1,Referral,Homepage,2.06,Returning,Jacksonville
325,5,707.42,0.08,0.08,Referral,Checkout,2.64,Returning,Phoenix
326,5,0.53,0.37,0.07,Organic,Product Page,2.28,Returning,Seattle
327,5,275.32,0.16,0.07,Referral,Contact Us,1.04,Returning,Austin
328,4,743.09,0.53,0.05,Social Media,Blog,1.81,Returning,Houston
329,9,213.12,0.55,0.05,Direct,Blog,2.22,New,Houston
330,6,0.89,0.71,0.06,Referral,Blog,1.81,New,Austin
331,2,74.1,0.88,0.07,Social Media,Homepage,1.56,Returning,Dallas
332,6,767.02,0.47,0.01,Referral,Product Page,2.28,New,San Antonio
333,6,5.15,0.23,0.02,Organic,Product Page,2.89,New,Washington
334,6,150.65,0.33,0.1,Social Media,Contact Us,2.22,New,Dallas
335,5,467.83,0.85,0.03,Organic,Homepage,2.31,Returning,Charlotte
336,2,546.22,0.15,0.03,Direct,Contact Us,2.05,New,Philadelphia
337,5,194.8,0.63,0.04,Direct,Checkout,2.29,New,Charlotte
338,3,79.38,0.01,0.03,Organic,Product Page,1.57,Returning,Philadelphia
339,3,274.67,0.25,0.01,Referral,Blog,2.36,New,San Antonio
340,3,91.87,0.59,0.02,Organic,Contact Us,2.1,New,San Diego
341,6,88.42,0.46,0.06,Social Media,Checkout,2.19,New,Dallas
342,6,494.45,0.49,0.02,Organic,Blog,2.46,Returning,New York
343,4,50.27,0.66,0.06,Organic,Blog,1.39,New,San Jose
344,5,1.66,0.23,0.01,Direct,Contact Us,1.88,New,Philadelphia
345,5,123.19,0.28,0,Social Media,Contact Us,2.25,New,San Jose
346,7,202.58,0.68,0.09,Direct,Contact Us,2.24,New,Los Angeles
347,5,366.32,0.54,0.08,Social Media,Product Page,1.38,Returning,Dallas
348,3,455.76,0.01,0.07,Direct,Homepage,1.69,New,Charlotte
349,4,326.76,0.67,0,Direct,Contact Us,1.97,Returning,Jacksonville
350,7,295.46,0.62,0.02,Referral,Product Page,2.38,New,Indianapolis
351,5,328.76,0.08,0.08,Direct,Homepage,2.36,New,Seattle
352,7,95.04,0.75,0.01,Direct,Checkout,2.71,New,Austin
353,8,144.56,0.52,0.08,Referral,Homepage,2.42,New,Los Angeles
354,7,287.48,0.2,0.06,Social Media,Product Page,3.06,New,San Jose
355,5,20.35,0.56,0.07,Referral,Product Page,1.89,New,San Antonio
356,8,105.01,0.6,0.06,Organic,Homepage,2.62,New,San Francisco
357,4,156.47,0.92,0.04,Referral,Homepage,1.28,New,Indianapolis
358,6,228.71,0.74,0.03,Referral,Product Page,2.26,Returning,Charlotte
359,8,199.94,0.3,0.07,Direct,Product Page,2.05,Returning,San Diego
360,6,379.89,0.12,0.08,Direct,Checkout,1.92,New,Washington
361,3,192.41,0.85,0,Direct,Product Page,1.96,New,Washington
362,8,703.43,0.85,0.04,Social Media,Product Page,1.97,Returning,San Antonio
363,4,143.56,0.18,0.04,Direct,Blog,2.16,Returning,San Diego
364,7,223.57,0.06,0.06,Referral,Blog,1.92,New,Columbus
365,2,0.96,0.71,0.01,Social Media,Blog,2.44,Returning,Jacksonville
366,10,111.53,0.72,0.09,Direct,Contact Us,1.36,Returning,Austin
367,6,604.26,0.18,0.05,Social Media,Contact Us,2.18,Returning,Houston
368,4,121.75,0.67,0.09,Direct,Product Page,2.18,New,San Francisco
369,5,87.58,0.28,0.08,Organic,Blog,1.92,New,Austin
370,6,235.27,0.26,0.02,Referral,Checkout,2.26,Returning,Denver
371,4,24.6,0.32,0.01,Referral,Checkout,1.2,Returning,Chicago
