customer_id,product_id,order_id,city,state,date,product_category,sales,quantity_sold,Quarter
86,11,1193,San Antonio,Texas,1/11/2024,Electronics,333.69,6,Q2
469,4,1092,Phoenix,Arizona,1/11/2024,Clothing,213.67,6,Q2
682,18,804,Philadelphia,Pennsylvania,1/11/2024,Clothing,228.38,4,Q2
235,15,823,Houston,Texas,1/12/2024,Clothing,271.68,6,Q2
510,10,1139,San Antonio,Texas,1/12/2024,Books,848.13,4,Q2
55,11,118,San Jose,California,1/13/2024,Clothing,282.71,3,Q2
231,7,368,Phoenix,Arizona,1/13/2024,Toys,832.45,4,Q2
276,7,264,Houston,Texas,1/13/2024,Furniture,395.82,6,Q2
340,14,652,Chicago,Illinois,1/13/2024,Electronics,279.21,8,Q2
349,16,1197,San Jose,California,1/13/2024,Furniture,670.08,7,Q2
570,16,760,Houston,Texas,1/13/2024,Books,218.53,10,Q2
601,13,762,Philadelphia,Pennsylvania,1/13/2024,Electronics,675.67,5,Q2
156,1,836,Los Angeles,California,1/14/2024,Clothing,786.12,3,Q2
556,14,477,New York,New York,1/14/2024,Electronics,641.94,3,Q2
576,3,505,Chicago,Illinois,1/15/2024,Clothing,615.46,5,Q2
660,5,624,Houston,Texas,1/15/2024,Clothing,571,7,Q2
5,4,1171,New York,New York,1/17/2024,Toys,828.55,7,Q2
59,4,513,San Jose,California,1/17/2024,Toys,566.24,1,Q2
432,17,1205,Philadelphia,Pennsylvania,1/17/2024,Toys,669.37,4,Q2
498,7,400,San Jose,California,1/17/2024,Electronics,350.54,1,Q2
65,2,102,Chicago,Illinois,1/19/2024,Clothing,581.93,3,Q2
186,4,539,Houston,Texas,1/19/2024,Electronics,862.46,5,Q2
368,17,485,Phoenix,Arizona,1/19/2024,Toys,476.17,4,Q2
387,11,599,Los Angeles,California,1/19/2024,Clothing,229.56,4,Q2
431,14,1082,San Diego,California,1/19/2024,Books,123.78,7,Q2
495,9,444,New York,New York,1/19/2024,Clothing,548.99,7,Q2
527,18,638,San Diego,California,1/19/2024,Electronics,483.13,2,Q2
103,6,680,San Antonio,Texas,1/20/2024,Clothing,907.74,6,Q2
349,4,1043,Philadelphia,Pennsylvania,1/20/2024,Clothing,321.43,9,Q2
601,4,837,New York,New York,1/20/2024,Electronics,594.77,10,Q2
37,16,769,Philadelphia,Pennsylvania,1/21/2024,Clothing,488.36,5,Q2
112,15,162,San Jose,California,1/21/2024,Toys,109.58,3,Q2
527,2,835,Dallas,Texas,1/21/2024,Books,555.35,3,Q2
531,14,1213,San Diego,California,1/21/2024,Books,481.46,4,Q2
653,16,896,New York,New York,1/22/2024,Electronics,978.52,4,Q2
212,15,907,San Jose,California,1/23/2024,Electronics,881.92,6,Q2
659,7,235,New York,New York,1/23/2024,Toys,993.01,5,Q2
131,13,128,Los Angeles,California,1/24/2024,Furniture,740.79,2,Q2
430,17,66,Philadelphia,Pennsylvania,1/24/2024,Furniture,847.49,2,Q2
521,17,857,San Jose,California,1/24/2024,Books,910,6,Q3
552,16,492,San Antonio,Texas,1/24/2024,Clothing,670.94,2,Q3
570,7,971,Phoenix,Arizona,1/24/2024,Toys,493.76,5,Q3
621,9,872,Philadelphia,Pennsylvania,1/24/2024,Clothing,206.17,7,Q3
40,20,204,San Antonio,Texas,1/25/2024,Clothing,693.31,10,Q3
86,6,951,Phoenix,Arizona,1/25/2024,Clothing,647.68,9,Q3
181,7,1050,Philadelphia,Pennsylvania,1/25/2024,Books,617.89,4,Q3
500,9,1228,Los Angeles,California,1/25/2024,Toys,137.62,8,Q3
588,12,245,Houston,Texas,1/25/2024,Furniture,296.43,2,Q3
388,9,1008,Chicago,Illinois,1/26/2024,Clothing,174.67,3,Q3
430,16,1237,Houston,Texas,1/26/2024,Electronics,314.33,7,Q3
522,7,574,Chicago,Illinois,1/26/2024,Clothing,121.73,7,Q3
15,16,956,New York,New York,1/27/2024,Electronics,627.84,6,Q3
79,10,761,Houston,Texas,1/27/2024,Electronics,883.76,10,Q3
191,1,562,Dallas,Texas,1/27/2024,Toys,634.22,7,Q3
308,5,1114,New York,New York,1/27/2024,Electronics,434.67,9,Q3
448,5,462,San Jose,California,1/27/2024,Books,157.67,4,Q3
566,20,641,Dallas,Texas,1/27/2024,Toys,180.69,9,Q3
16,12,173,Phoenix,Arizona,1/28/2024,Toys,989.37,2,Q3
203,4,534,Dallas,Texas,1/28/2024,Furniture,638.46,5,Q3
620,13,278,Los Angeles,California,1/28/2024,Clothing,104.55,4,Q3
21,17,46,San Diego,California,1/29/2024,Toys,812.21,1,Q3
225,8,203,Dallas,Texas,1/29/2024,Furniture,230.84,5,Q3
443,4,57,Houston,Texas,1/29/2024,Furniture,250.77,10,Q3
450,18,1063,Houston,Texas,1/29/2024,Electronics,808.72,10,Q3
592,16,636,Chicago,Illinois,1/29/2024,Furniture,903.94,10,Q4
615,12,166,San Antonio,Texas,1/29/2024,Toys,735.73,3,Q4
621,3,796,San Jose,California,1/29/2024,Clothing,505.71,8,Q4
109,18,318,Houston,Texas,1/30/2024,Clothing,429.22,8,Q4
346,15,706,Philadelphia,Pennsylvania,1/30/2024,Toys,805.66,2,Q4
447,8,795,Houston,Texas,1/30/2024,Furniture,751.7,6,Q4
484,18,248,New York,New York,1/30/2024,Clothing,753.58,9,Q4
655,6,359,Los Angeles,California,1/30/2024,Furniture,338.21,8,Q4
101,5,453,San Jose,California,1/31/2024,Books,382.33,6,Q4
260,12,337,Dallas,Texas,1/31/2024,Clothing,976.22,4,Q4
417,20,1138,San Jose,California,1/31/2024,Furniture,395.78,8,Q4
441,14,783,Philadelphia,Pennsylvania,1/31/2024,Electronics,494.16,10,Q4
410,9,424,New York,New York,2/1/2024,Electronics,227.35,7,Q4
12,19,253,Los Angeles,California,2/2/2024,Books,736.82,2,Q4
356,10,80,San Jose,California,2/2/2024,Books,596.45,5,Q4
30,8,389,San Diego,California,2/3/2024,Furniture,194.62,6,Q4
472,12,314,Dallas,Texas,2/3/2024,Clothing,327.09,6,Q4
478,12,649,Houston,Texas,2/3/2024,Furniture,655.28,4,Q4
237,15,423,San Diego,California,2/4/2024,Furniture,500.51,7,Q4
586,1,382,Dallas,Texas,2/4/2024,Books,669.02,8,Q4
12,4,583,Phoenix,Arizona,2/6/2024,Books,192.35,10,Q4
287,6,693,San Antonio,Texas,2/6/2024,Electronics,214.03,9,Q4
364,20,812,San Diego,California,2/6/2024,Books,901.94,7,Q4
378,14,569,Philadelphia,Pennsylvania,2/6/2024,Electronics,433.8,10,Q4
410,4,860,San Jose,California,2/6/2024,Clothing,852.88,7,Q4
452,9,934,Los Angeles,California,2/6/2024,Electronics,683.76,7,Q4
124,9,16,San Jose,California,2/7/2024,Toys,587.32,4,Q4
183,5,1040,San Antonio,Texas,2/7/2024,Toys,567.22,10,Q4
238,15,566,Dallas,Texas,2/7/2024,Books,198.05,5,Q4
295,19,1190,New York,New York,2/7/2024,Furniture,556.83,2,Q4
420,6,654,Philadelphia,Pennsylvania,2/7/2024,Toys,729.88,5,Q4
446,11,754,Houston,Texas,2/7/2024,Furniture,144.69,8,Q4
586,8,1253,Dallas,Texas,2/7/2024,Electronics,108.68,1,Q4
123,8,660,Phoenix,Arizona,2/8/2024,Furniture,998.33,1,Q4
134,8,944,Philadelphia,Pennsylvania,2/8/2024,Toys,881.07,9,Q4
532,8,709,San Jose,California,2/8/2024,Electronics,831.09,2,Q4
552,15,567,Chicago,Illinois,2/8/2024,Furniture,224.4,6,Q1
75,5,1004,Dallas,Texas,2/9/2024,Toys,913.83,6,Q1
330,8,421,San Jose,California,2/9/2024,Furniture,186.96,9,Q1
389,11,558,San Antonio,Texas,2/9/2024,Books,750.28,5,Q1
396,4,1159,Los Angeles,California,2/9/2024,Toys,233.35,5,Q1
161,20,115,Phoenix,Arizona,2/10/2024,Electronics,943.21,8,Q1
444,4,1122,New York,New York,2/10/2024,Clothing,271.36,9,Q1
27,5,864,Chicago,Illinois,2/11/2024,Toys,704.96,9,Q1
119,4,39,Phoenix,Arizona,2/11/2024,Furniture,766.32,10,Q1
416,19,1206,Dallas,Texas,2/11/2024,Furniture,618.95,10,Q1
435,20,818,New York,New York,2/11/2024,Electronics,412.18,10,Q1
470,9,401,Houston,Texas,2/11/2024,Clothing,550.57,9,Q1
211,13,194,Houston,Texas,2/12/2024,Books,147.03,5,Q1
244,6,53,New York,New York,2/12/2024,Electronics,614.88,8,Q1
402,13,656,Houston,Texas,2/12/2024,Clothing,545.65,3,Q1
81,5,305,Houston,Texas,2/13/2024,Electronics,206.13,4,Q1
83,18,354,San Jose,California,2/13/2024,Clothing,751,2,Q1
229,8,227,Los Angeles,California,2/13/2024,Furniture,933.45,9,Q1
339,15,743,New York,New York,2/13/2024,Books,347.77,1,Q1
73,5,850,Los Angeles,California,2/14/2024,Books,230.86,2,Q1
127,14,905,Dallas,Texas,2/14/2024,Furniture,227.52,4,Q1
218,1,767,San Diego,California,2/14/2024,Furniture,123.08,8,Q1
450,13,8,Philadelphia,Pennsylvania,2/14/2024,Toys,631.2,2,Q1
511,2,261,New York,New York,2/14/2024,Electronics,211.68,3,Q1
383,18,681,Los Angeles,California,2/15/2024,Toys,297.16,6,Q1
415,13,470,Philadelphia,Pennsylvania,2/15/2024,Furniture,471.68,5,Q1
638,4,596,New York,New York,2/15/2024,Toys,279.75,6,Q1
161,10,243,Chicago,Illinois,2/16/2024,Furniture,668.4,4,Q1
175,17,989,Chicago,Illinois,2/16/2024,Furniture,528.54,5,Q1
245,14,830,Los Angeles,California,2/16/2024,Clothing,619.02,4,Q1
299,8,685,Dallas,Texas,2/16/2024,Furniture,972.76,6,Q1
577,1,986,Dallas,Texas,2/16/2024,Clothing,814.9,7,Q1
579,11,1173,Chicago,Illinois,2/16/2024,Furniture,345.52,4,Q1
581,9,352,Chicago,Illinois,2/16/2024,Electronics,378.91,4,Q1
594,8,398,Phoenix,Arizona,2/16/2024,Toys,468.89,9,Q1
67,10,327,San Jose,California,2/17/2024,Electronics,295.59,10,Q2
201,19,142,Philadelphia,Pennsylvania,2/17/2024,Furniture,145.27,6,Q2
213,15,816,San Jose,California,2/17/2024,Clothing,304.66,1,Q2
387,1,395,San Antonio,Texas,2/17/2024,Furniture,473.83,8,Q2
397,16,387,Houston,Texas,2/17/2024,Toys,261.57,7,Q2
485,18,1157,Philadelphia,Pennsylvania,2/17/2024,Furniture,781.99,1,Q2
661,17,1215,San Jose,California,2/17/2024,Furniture,861.31,7,Q2
34,11,1196,San Antonio,Texas,2/18/2024,Electronics,559.84,8,Q2
192,8,1095,Phoenix,Arizona,2/18/2024,Clothing,274.45,4,Q2
199,16,1098,Chicago,Illinois,2/18/2024,Electronics,406.16,7,Q2
677,2,301,New York,New York,2/18/2024,Furniture,223.19,7,Q2
558,4,350,San Diego,California,2/19/2024,Books,623.11,1,Q2
593,12,619,Philadelphia,Pennsylvania,2/19/2024,Toys,846.55,3,Q2
635,2,946,Chicago,Illinois,2/19/2024,Electronics,373.1,7,Q2
348,13,101,San Antonio,Texas,2/20/2024,Toys,235.67,5,Q2
398,15,206,San Antonio,Texas,2/20/2024,Clothing,519.29,9,Q2
519,15,1089,San Jose,California,2/20/2024,Furniture,516.86,10,Q2
571,16,605,San Antonio,Texas,2/20/2024,Furniture,639.16,1,Q2
659,7,292,Chicago,Illinois,2/20/2024,Furniture,503.11,4,Q2
333,13,676,Chicago,Illinois,2/21/2024,Toys,237.42,7,Q2
576,3,238,San Diego,California,2/21/2024,Books,290.96,4,Q2
584,5,526,Dallas,Texas,2/21/2024,Toys,706.69,3,Q2
89,19,1135,Philadelphia,Pennsylvania,2/22/2024,Furniture,129.92,3,Q2
439,20,490,Philadelphia,Pennsylvania,2/22/2024,Books,634,8,Q2
559,6,801,New York,New York,2/22/2024,Electronics,224.75,8,Q2
589,12,911,Los Angeles,California,2/22/2024,Furniture,269.96,3,Q2
596,4,1178,Philadelphia,Pennsylvania,2/22/2024,Electronics,306.76,9,Q2
628,4,999,Los Angeles,California,2/22/2024,Books,971.34,6,Q2
28,8,232,New York,New York,2/23/2024,Furniture,432.22,6,Q2
245,12,365,San Diego,California,2/23/2024,Toys,833.76,1,Q2
311,1,635,Houston,Texas,2/23/2024,Toys,612.37,7,Q2
371,3,331,Phoenix,Arizona,2/23/2024,Books,168.8,6,Q2
572,15,924,San Jose,California,2/23/2024,Electronics,795.13,9,Q2
35,9,385,Los Angeles,California,2/24/2024,Toys,160.24,2,Q2
120,19,377,Houston,Texas,2/25/2024,Toys,598.23,9,Q2
85,15,123,Los Angeles,California,2/26/2024,Clothing,950.91,7,Q2
111,18,61,San Jose,California,2/26/2024,Furniture,805.48,7,Q2
232,5,298,Dallas,Texas,2/26/2024,Toys,872.47,5,Q2
277,3,193,Philadelphia,Pennsylvania,2/26/2024,Books,749.9,7,Q2
385,17,1131,Houston,Texas,2/26/2024,Clothing,172.09,10,Q2
424,3,1180,New York,New York,2/26/2024,Furniture,718.6,7,Q3
425,14,26,San Diego,California,2/26/2024,Clothing,664.15,1,Q3
532,17,1234,New York,New York,2/26/2024,Toys,414.38,4,Q3
351,18,481,Philadelphia,Pennsylvania,2/27/2024,Electronics,326.43,5,Q3
91,4,158,San Jose,California,2/29/2024,Electronics,267.09,10,Q3
360,11,191,New York,New York,2/29/2024,Furniture,963.38,6,Q3
236,18,242,San Diego,California,3/1/2024,Clothing,556.63,5,Q3
325,10,6,San Antonio,Texas,3/1/2024,Toys,381.63,8,Q3
480,20,410,San Jose,California,3/1/2024,Clothing,672.71,4,Q3
536,10,613,Dallas,Texas,3/1/2024,Furniture,373.28,5,Q3
399,6,129,San Diego,California,3/2/2024,Toys,951.46,4,Q3
542,10,353,Los Angeles,California,3/2/2024,Furniture,592.41,6,Q3
144,8,1079,San Antonio,Texas,3/3/2024,Books,233.04,8,Q3
322,12,435,Phoenix,Arizona,3/3/2024,Furniture,265.73,8,Q3
42,8,719,San Diego,California,3/4/2024,Toys,102.03,1,Q3
536,6,1081,San Antonio,Texas,3/4/2024,Electronics,779.19,6,Q3
665,16,374,Dallas,Texas,3/4/2024,Clothing,180.2,7,Q3
279,12,249,San Antonio,Texas,3/5/2024,Books,574.1,6,Q3
306,15,1097,Houston,Texas,3/5/2024,Clothing,943.93,2,Q3
340,1,622,New York,New York,3/5/2024,Furniture,922.22,1,Q3
486,13,759,San Diego,California,3/5/2024,Clothing,131.62,3,Q3
644,14,631,Houston,Texas,3/5/2024,Furniture,610.24,1,Q3
248,13,496,Phoenix,Arizona,3/6/2024,Books,674.42,4,Q3
295,3,70,San Jose,California,3/6/2024,Furniture,867.88,10,Q3
359,13,851,San Antonio,Texas,3/6/2024,Furniture,744.11,10,Q3
383,1,140,Houston,Texas,3/7/2024,Electronics,963.81,6,Q3
448,3,797,Phoenix,Arizona,3/7/2024,Furniture,716.24,6,Q3
469,12,704,Phoenix,Arizona,3/7/2024,Furniture,524.95,4,Q3
1,10,210,New York,New York,3/8/2024,Toys,709.77,7,Q4
393,19,489,Philadelphia,Pennsylvania,3/8/2024,Toys,469.26,1,Q4
205,20,1179,Houston,Texas,3/9/2024,Clothing,661.66,1,Q4
167,13,594,San Antonio,Texas,3/10/2024,Clothing,641.4,9,Q4
218,5,1024,Los Angeles,California,3/10/2024,Toys,557.13,1,Q4
3,7,64,New York,New York,3/11/2024,Electronics,472.02,6,Q4
97,4,597,New York,New York,3/11/2024,Toys,541.6,6,Q4
219,10,270,Phoenix,Arizona,3/11/2024,Books,918.32,10,Q4
507,20,466,San Jose,California,3/11/2024,Toys,587.78,10,Q4
206,6,342,San Jose,California,3/12/2024,Electronics,266.13,4,Q4
265,13,788,Philadelphia,Pennsylvania,3/12/2024,Clothing,864.76,2,Q4
284,15,1016,Dallas,Texas,3/12/2024,Toys,729.19,5,Q4
496,4,683,Chicago,Illinois,3/12/2024,Electronics,233.11,7,Q4
302,6,817,San Diego,California,3/13/2024,Furniture,715.17,10,Q4
381,19,267,Los Angeles,California,3/13/2024,Furniture,361.18,4,Q4
597,16,778,Philadelphia,Pennsylvania,3/13/2024,Electronics,623.42,6,Q4
152,3,673,Los Angeles,California,3/14/2024,Electronics,959.26,5,Q4
269,19,787,Los Angeles,California,3/14/2024,Clothing,753.21,10,Q4
322,13,592,New York,New York,3/14/2024,Books,491.22,1,Q4
44,20,1236,San Jose,California,3/15/2024,Electronics,618.06,2,Q4
147,12,699,New York,New York,3/15/2024,Toys,321.93,1,Q4
418,10,1009,Phoenix,Arizona,3/15/2024,Furniture,891.5,3,Q4
564,18,1023,Los Angeles,California,3/15/2024,Books,519.96,9,Q4
40,14,144,Dallas,Texas,3/16/2024,Books,442.26,10,Q4
151,20,899,Phoenix,Arizona,3/16/2024,Clothing,673.09,1,Q4
262,20,521,Los Angeles,California,3/16/2024,Furniture,207.27,7,Q4
303,12,670,Dallas,Texas,3/16/2024,Toys,918.45,7,Q4
401,6,1165,Chicago,Illinois,3/16/2024,Toys,632.27,4,Q4
444,7,602,Los Angeles,California,3/16/2024,Electronics,385.56,10,Q4
555,7,1200,Philadelphia,Pennsylvania,3/16/2024,Furniture,192.68,4,Q4
79,9,239,New York,New York,3/17/2024,Toys,734.73,6,Q1
227,11,665,San Antonio,Texas,3/17/2024,Toys,286.06,10,Q1
474,16,770,Chicago,Illinois,3/17/2024,Furniture,705.69,5,Q1
16,2,491,San Antonio,Texas,3/18/2024,Electronics,931.88,1,Q1
84,8,406,Chicago,Illinois,3/18/2024,Toys,953.64,2,Q1
124,1,570,Los Angeles,California,3/18/2024,Electronics,201.33,4,Q1
217,19,256,Chicago,Illinois,3/18/2024,Books,110.86,6,Q1
357,12,785,San Diego,California,3/18/2024,Furniture,951.19,5,Q1
156,14,1191,Houston,Texas,3/19/2024,Clothing,991.38,4,Q1
670,8,250,San Jose,California,3/19/2024,Clothing,727.99,9,Q1
246,3,713,Houston,Texas,3/20/2024,Furniture,202.03,8,Q1
259,4,1211,Los Angeles,California,3/20/2024,Toys,102.94,4,Q1
356,6,985,San Antonio,Texas,3/20/2024,Electronics,120.56,3,Q1
423,13,891,New York,New York,3/20/2024,Furniture,556.8,5,Q1
434,6,189,Phoenix,Arizona,3/20/2024,Furniture,642.37,2,Q1
633,2,1115,Chicago,Illinois,3/20/2024,Electronics,265.83,9,Q1
221,14,361,San Diego,California,3/21/2024,Clothing,335.44,6,Q1
336,6,585,Houston,Texas,3/21/2024,Clothing,113.35,6,Q1
46,10,677,Phoenix,Arizona,3/22/2024,Toys,630.39,2,Q1
132,8,834,New York,New York,3/22/2024,Electronics,243.03,8,Q1
214,9,1062,Los Angeles,California,3/22/2024,Electronics,389.66,7,Q1
248,10,117,San Diego,California,3/22/2024,Books,870.27,10,Q1
458,16,915,San Antonio,Texas,3/22/2024,Clothing,372.92,9,Q1
288,18,218,Houston,Texas,3/23/2024,Clothing,728.5,3,Q1
583,15,542,San Antonio,Texas,3/23/2024,Clothing,435.52,3,Q1
79,3,771,Philadelphia,Pennsylvania,3/24/2024,Clothing,217.05,9,Q1
247,19,47,San Antonio,Texas,3/24/2024,Toys,295.1,7,Q1
446,6,328,San Diego,California,3/24/2024,Clothing,965.3,2,Q1
656,4,260,Philadelphia,Pennsylvania,3/24/2024,Electronics,677.74,3,Q1
22,17,225,San Diego,California,3/25/2024,Books,195.7,8,Q2
64,3,984,Phoenix,Arizona,3/25/2024,Electronics,657.86,7,Q2
394,16,1146,San Jose,California,3/25/2024,Toys,499.62,4,Q2
523,11,17,Chicago,Illinois,3/25/2024,Books,668.96,10,Q2
650,10,499,New York,New York,3/25/2024,Electronics,995.83,2,Q2
38,18,827,Phoenix,Arizona,3/26/2024,Furniture,257.71,9,Q2
127,3,1093,New York,New York,3/26/2024,Clothing,780.66,4,Q2
167,13,612,San Jose,California,3/26/2024,Furniture,916.94,5,Q2
234,19,640,San Jose,California,3/26/2024,Clothing,468.76,8,Q2
501,19,484,Los Angeles,California,3/26/2024,Clothing,559.86,2,Q2
535,17,1065,Dallas,Texas,3/26/2024,Toys,695.14,5,Q2
18,15,922,New York,New York,3/27/2024,Electronics,636.2,6,Q2
492,3,356,San Antonio,Texas,3/27/2024,Furniture,158.64,7,Q2
121,11,842,San Diego,California,3/28/2024,Electronics,609.57,8,Q2
180,12,22,San Jose,California,3/28/2024,Electronics,452.18,3,Q2
199,10,302,Dallas,Texas,3/28/2024,Furniture,634.64,9,Q2
383,1,805,Chicago,Illinois,3/28/2024,Furniture,775.28,4,Q2
248,14,135,Chicago,Illinois,3/29/2024,Toys,764.51,8,Q2
410,3,127,San Diego,California,3/29/2024,Toys,651.09,7,Q2
504,10,509,Houston,Texas,3/29/2024,Furniture,202.79,4,Q2
579,17,252,San Diego,California,3/29/2024,Toys,585.07,2,Q2
51,13,973,Philadelphia,Pennsylvania,3/30/2024,Books,974.81,8,Q2
202,1,393,Phoenix,Arizona,3/30/2024,Toys,174.38,10,Q2
321,10,1103,Houston,Texas,3/30/2024,Furniture,863.03,2,Q2
115,6,1025,New York,New York,3/31/2024,Toys,883.28,2,Q2
362,10,121,Los Angeles,California,3/31/2024,Books,797.07,10,Q2
33,4,1018,Philadelphia,Pennsylvania,4/1/2024,Toys,225.83,10,Q2
567,18,363,Philadelphia,Pennsylvania,4/1/2024,Electronics,973.39,1,Q2
591,13,819,Philadelphia,Pennsylvania,4/1/2024,Books,742.86,8,Q2
628,5,1235,Philadelphia,Pennsylvania,4/1/2024,Furniture,718.39,6,Q2
677,9,930,San Jose,California,4/1/2024,Toys,615.62,6,Q2
44,11,258,Phoenix,Arizona,4/2/2024,Books,407.48,3,Q3
283,7,100,Phoenix,Arizona,4/2/2024,Toys,356.29,10,Q3
398,3,752,Chicago,Illinois,4/2/2024,Clothing,198.53,2,Q3
466,13,876,San Antonio,Texas,4/2/2024,Furniture,643.25,8,Q3
466,17,903,Los Angeles,California,4/2/2024,Books,143.5,4,Q3
494,16,1020,San Jose,California,4/2/2024,Toys,419.22,10,Q3
412,6,1051,San Antonio,Texas,4/3/2024,Books,828.19,7,Q3
666,15,48,Philadelphia,Pennsylvania,4/3/2024,Toys,852.69,5,Q3
30,11,463,San Antonio,Texas,4/4/2024,Furniture,618.98,10,Q3
84,11,559,Phoenix,Arizona,4/4/2024,Books,730.63,2,Q3
225,8,394,Chicago,Illinois,4/4/2024,Books,387.51,7,Q3
334,18,590,New York,New York,4/4/2024,Furniture,655.8,8,Q3
500,10,953,San Antonio,Texas,4/4/2024,Electronics,274.74,10,Q3
663,3,937,Philadelphia,Pennsylvania,4/4/2024,Electronics,571.48,1,Q3
204,15,182,Los Angeles,California,4/5/2024,Books,689.86,3,Q3
535,3,271,San Diego,California,4/5/2024,Clothing,551.27,1,Q3
655,4,461,New York,New York,4/5/2024,Toys,988.6,9,Q3
238,3,912,Los Angeles,California,4/6/2024,Furniture,471.76,9,Q3
366,3,475,Dallas,Texas,4/6/2024,Toys,318.47,8,Q3
546,11,413,Los Angeles,California,4/6/2024,Furniture,715.02,2,Q3
44,11,886,New York,New York,4/7/2024,Electronics,273.35,6,Q3
303,4,712,Houston,Texas,4/7/2024,Clothing,477.63,8,Q3
356,15,7,Los Angeles,California,4/7/2024,Books,133.55,7,Q3
382,17,555,Phoenix,Arizona,4/7/2024,Furniture,673.68,7,Q3
457,18,572,Dallas,Texas,4/7/2024,Clothing,530.09,3,Q3
625,2,620,Chicago,Illinois,4/7/2024,Toys,638.33,10,Q3
33,16,290,Chicago,Illinois,4/8/2024,Electronics,330.2,8,Q3
286,10,209,Houston,Texas,4/8/2024,Toys,438.87,8,Q3
639,14,291,San Antonio,Texas,4/8/2024,Books,827.26,5,Q3
161,13,1155,Phoenix,Arizona,4/9/2024,Electronics,144.02,5,Q3
180,9,108,Chicago,Illinois,4/9/2024,Clothing,451.92,7,Q3
628,5,1204,Chicago,Illinois,4/9/2024,Furniture,174.54,2,Q4
350,20,745,Philadelphia,Pennsylvania,4/10/2024,Books,663.51,8,Q4
391,4,217,Chicago,Illinois,4/10/2024,Electronics,415.55,8,Q4
327,3,439,Dallas,Texas,4/11/2024,Electronics,497.71,8,Q4
330,19,792,Philadelphia,Pennsylvania,4/11/2024,Books,313.32,4,Q4
521,12,165,Los Angeles,California,4/11/2024,Furniture,188.79,3,Q4
1,17,357,San Jose,California,4/12/2024,Furniture,924.26,5,Q4
566,3,854,Phoenix,Arizona,4/12/2024,Clothing,616.75,6,Q4
92,10,1137,San Jose,California,4/13/2024,Books,256.02,6,Q4
300,16,503,San Diego,California,4/13/2024,Books,421.42,8,Q4
577,8,776,San Jose,California,4/14/2024,Toys,741.76,1,Q4
130,5,467,Phoenix,Arizona,4/15/2024,Clothing,793.33,6,Q4
374,4,878,San Diego,California,4/15/2024,Toys,283.67,7,Q4
589,14,824,New York,New York,4/15/2024,Furniture,853.34,3,Q4
598,1,442,Philadelphia,Pennsylvania,4/15/2024,Toys,198.45,1,Q4
33,18,371,Houston,Texas,4/16/2024,Electronics,919.05,6,Q4
38,18,4,Chicago,Illinois,4/16/2024,Clothing,680.3,2,Q4
